w	Stern_exp	Stern_pred
173	0.0	1.3760845451726483e-31
174	0.0	3.6922427869861794e-31
175	0.0	9.828171013340973e-31
176	0.0	2.5941309756243338e-30
177	0.0	6.795357726391548e-30
178	0.0	1.7645714766441948e-29
179	0.0	4.548516913899577e-29
180	0.0	1.1629299349262258e-28
181	0.0	2.949857337051411e-28
182	0.0	7.42104243324945e-28
183	0.0	1.8531515587386844e-27
184	0.0	4.5878858392749066e-27
185	0.0	1.1273572987835183e-26
186	0.0	2.748794611027411e-26
187	0.0	6.649130289283185e-26
188	0.0	1.5958475107499291e-25
189	0.0	3.8005073317683336e-25
190	0.0	8.983145150820526e-25
191	0.0	2.1062375075800824e-24
192	0.0	4.902837242277536e-24
193	0.0	1.1321378111505224e-23
194	0.0	2.594130975624334e-23
195	0.0	5.90112070715194e-23
196	0.0	1.3319351074303154e-22
197	0.0	2.983602130230264e-22
198	0.0	6.633663925742877e-22
199	0.0	1.4636804041327543e-21
200	0.0	3.205755351991047e-21
201	0.0	6.96829979143317e-21
202	0.0	1.503049329508083e-20
203	0.0	3.2198156824822357e-20
204	0.0	6.843162850061591e-20
205	0.0	1.44399594144509e-19
206	0.0	3.0243770886547117e-19
207	0.0	6.287779795659633e-19
208	0.0	1.2974872977269028e-18
209	0.0	2.6588084958838025e-18
210	0.0	5.406197073862095e-18
211	0.0	1.0915034560309866e-17
212	0.0	2.187787424428978e-17
213	0.0	4.353078320072053e-17
214	0.0	8.599298128411073e-17
215	0.0	1.6858336258935376e-16
216	0.0	3.283087169692585e-16
217	0.0	6.348239216771745e-16
218	0.0	1.2183276370615097e-15
219	0.0	2.3213605640952714e-15
220	0.0	4.392447245447382e-15
221	0.0	8.252007965278708e-15
222	0.0	1.539606188785174e-14
223	0.0	2.851435023613089e-14
224	0.0	5.2430972401643045e-14
225	0.0	9.573679031450456e-14
226	0.0	1.7364508156618172e-13
227	0.0	3.1256114681912713e-13
228	0.0	5.587575337198431e-13
229	0.0	9.9195631615337e-13
230	0.0	1.7491051131038869e-12
231	0.0	3.0623399809809214e-12
232	0.0	5.323241123964081e-12
233	0.0	9.189832009041001e-12
234	0.0	1.5761630480622648e-11
