w	SternBabai_exp	SternBabai_pred
252	7.510996850488801e-07	7.521711132970846e-07
253	1.2017594960782081e-06	1.1361404510244396e-06
254	2.25329905514664e-06	1.7037726886989474e-06
255	1.952859181127088e-06	2.5388694992694682e-06
256	3.0043987401955203e-06	3.755015728649265e-06
257	7.510996850488801e-06	5.514266876791709e-06
258	9.163416157596336e-06	8.039996740929823e-06
259	1.096605540171365e-05	1.1641716726379954e-05
260	1.547265351200693e-05	1.6731135400591204e-05
261	2.4035189921564162e-05	2.388493674988413e-05
262	2.9443107653916098e-05	3.3856459855123045e-05
263	4.927213933920653e-05	4.7653076743045105e-05
264	6.113951436297884e-05	6.657415133219537e-05
265	9.26857011350318e-05	9.23424357842403e-05
266	0.0001252834274661532	0.0001271770684769197
267	0.00017320358737227175	0.00017388117157158924
268	0.00023960079953059274	0.00023607544452666649
269	0.00033033364148449745	0.0003181251661246792
270	0.00040679558942247345	0.00042557818230997703
271	0.0005637754235976893	0.000565150306594141
272	0.000734425272040795	0.0007450173119477917
273	0.000954347259823107	0.0009748149308005888
274	0.0012600448316380012	0.0012660768428789436
275	0.0016268819178158742	0.0016322346752060183
276	0.002104581317506962	0.002087742026426302
277	0.0026588928850730356	0.0026512863776155
