w	WagnerBabai_exp	WagnerBabai_pred
186	0.0	4.337882321136123e-25
187	0.0	1.0618376765466473e-24
188	0.0	2.5785149125385455e-24
189	0.0	6.2095961916590266e-24
190	0.0	1.4834095943538163e-23
191	0.0	3.517644074846366e-23
192	0.0	8.273280715568895e-23
193	0.0	1.9306139573575404e-22
194	0.0	4.469862145339661e-22
195	0.0	1.0267157729156231e-21
196	0.0	2.3396423381536296e-21
197	0.0	5.292281876326998e-21
198	0.0	1.1878184178318427e-20
199	0.0	2.6439594534659197e-20
200	0.0	5.842016020116941e-20
201	0.0	1.2805315174789562e-19
202	0.0	2.7868467011573537e-19
203	0.0	6.016534795923273e-19
204	0.0	1.2892574562692728e-18
205	0.0	2.7410355225081914e-18
206	0.0	5.783115933282305e-18
207	0.0	1.2107240071564235e-17
208	0.0	2.5174333410063298e-17
209	0.0	5.1919335802383575e-17
210	0.0	1.0629284188954369e-16
211	0.0	2.1596698506033503e-16
212	0.0	4.3553341987167563e-16
213	0.0	8.71830359387504e-16
214	0.0	1.7320988498778387e-15
215	0.0	3.4151142940601464e-15
216	0.0	6.6851598557312796e-15
217	0.0	1.2990741374083788e-14
218	0.0	2.5043444328208544e-14
219	0.0	4.7949033652789534e-14
220	0.0	9.110970839439284e-14
221	0.0	1.7190099416923635e-13
222	0.0	3.217689928929234e-13
223	0.0	5.980540298413217e-13
224	0.0	1.1038312569750457e-12
225	0.0	2.0211455723070747e-12
226	0.0	3.674710973072064e-12
227	0.0	6.6338949653381695e-12
228	0.0	1.1889091601806323e-11
229	0.0	2.114949414302978e-11
230	0.0	3.733611059906701e-11
231	0.0	6.546635577435004e-11
232	0.0	1.1398257544851015e-10
233	0.0	1.9687899395651754e-10
234	0.0	3.378029054201301e-10
235	0.0	5.752575147516197e-10
236	0.0	9.727240266505394e-10
237	0.0	1.6328412961379875e-09
238	0.0	2.721402160229979e-09
239	0.0	4.502584415803348e-09
240	0.0	7.39632386714208e-09
241	0.0	1.2063610377612654e-08
242	0.0	1.9535195466821214e-08
243	0.0	3.1402472221651744e-08
244	0.0	5.011961092688078e-08
245	0.0	7.942785783885655e-08
246	0.0	1.2499907317128483e-07
247	0.0	1.9524288043333317e-07
248	0.0	3.026810017891059e-07
249	0.0	4.660742056377836e-07
250	0.0	7.125819764642266e-07
251	0.0	1.0814710388248594e-06
252	1.231132888483983e-05	1.6295690690916189e-06
253	0.0	2.4378091495446907e-06
254	0.0	3.621264597981375e-06
255	0.0	5.339183797324949e-06
256	0.0	7.817350413774855e-06
257	0.0	1.1365535274387328e-05
258	1.231132888483983e-05	1.639385750230725e-05
259	1.231132888483983e-05	2.348368276943946e-05
260	4.924531553935932e-05	3.339853071993666e-05
261	6.155664442419915e-05	4.7163699161661043e-05
262	0.00016004727550291778	6.6098986336648e-05
263	0.00016004727550291778	9.197139484993662e-05
264	0.00011080195996355847	0.000127071483633985
265	0.00018466993327259743	0.00017419155310169446
266	0.0002831605643513161	0.0002371273866268527
267	0.0002954718932361559	0.00032035102783949695
268	0.0004432078398542339	0.000429534336953333
269	0.0004801418265087534	0.0005717671392354931
270	0.0006155664442419915	0.0007554481507716568
271	0.0011818875729446236	0.0009906122011706883
272	0.0013173121906778617	0.0012892574562692728
273	0.0017605200305320957	0.001664472824252885
274	0.0017974540171866152	0.0021334920342324006
275	0.0027823603279738015	0.002713766963788452
276	0.002954718932361559	0.003423840232850463
277	0.003878068598724546	0.004285526688394224
