w	LB_exp	LB_pred
346	0.006012742298694498	0.0060381818827600475
347	0.005213942503397817	0.005214169192163528
348	0.004486096271580212	0.004472557770626662
349	0.003815470655471537	0.003813347618149446
350	0.0032318203752404384	0.003231960886450791
351	0.0027214124831167713	0.0027215308031090586
352	0.002288824628357251	0.002276106165358829
353	0.0019047598557189042	0.0018924824794033387
354	0.0015559429823572592	0.0015635640804068948
355	0.0012815129094172247	0.0012836286580181328
356	0.001054919271209857	0.001047182794299743
357	0.0008521294091374045	0.0008489619637284692
358	0.0006836719164903108	0.0006839305331951108
359	0.0005481734984915616	0.0005475106544185759
360	0.00043304561968519184	0.00043558226394588214
361	0.0003410348696252304	0.00034425419073810126
362	0.0002673347165921269	0.0002705508334125237
363	0.00020974788894265845	0.00021110747348254707
364	0.0001646122672714535	0.00016372674377324723
365	0.0001283115086657075	0.0001261883878682947
366	9.510066330824377e-05	9.663837721384731e-05
367	7.582875993747572e-05	7.354313263573932e-05
368	5.5893097424484063e-05	5.5597967373859575e-05
369	4.31214559982506e-05	4.177286556496242e-05
370	3.137978565477791e-05	3.119803603564043e-05
371	2.4513311769706156e-05	2.3141023060918908e-05
372	1.6113325383635044e-05	1.7057062695347943e-05
373	1.2725864933666314e-05	1.2492947959099445e-05
374	9.658839931667598e-06	9.09160668624826e-06
375	6.454485451967448e-06	6.573790131647785e-06
376	4.646313995565219e-06	4.7243394260867085e-06
377	3.021248509431571e-06	3.3715852590240905e-06
378	2.197271643222961e-06	2.3919257268704507e-06
379	1.579288993566503e-06	1.6855637370979906e-06
380	9.613063439100453e-07	1.1803981792795135e-06
381	8.239768662086102e-07	8.212659816278639e-07
382	5.264296645221677e-07	5.676531868553797e-07
383	2.975472016864426e-07	3.8980378113496444e-07
384	2.975472016864426e-07	2.6597298513143195e-07
385	1.8310597026858006e-07	1.803901115164213e-07
386	6.866473885071753e-08	1.215189826215811e-07
387	4.5776492567145015e-08	8.132547471359533e-08
388	9.155298513429003e-08	5.408727744109929e-08
389	4.5776492567145015e-08	3.573010583392128e-08
390	2.2888246283572508e-08	2.3438583199189874e-08
391	0.0	1.5287724334705975e-08
392	4.5776492567145015e-08	9.904174756142048e-09
393	0.0	6.374653731420293e-09
394	0.0	4.074284970171677e-09
395	2.2888246283572508e-08	2.5887732029573975e-09
396	0.0	1.6333762666935444e-09
397	0.0	1.0240646604802294e-09
398	0.0	6.376942655560838e-10
399	0.0	3.946105218301107e-10
400	0.0	2.4239706648380937e-10
401	0.0	1.480476134105079e-10
